src 10.0.1.10,src 10.0.1.30,src 10.0.1.70,src 10.0.1.170,src 10.0.2.20,src 10.0.2.80,src 10.0.2.160,src 10.0.2.180,dst 10.0.1.10,dst 10.0.1.30,dst 10.0.1.70,dst 10.0.1.170,dst 10.0.2.20,dst 10.0.2.80,dst 10.0.2.160,dst 10.0.2.180,dst 10.0.2.200,Lenght Tot.Pkt,Lenght Avg,Lenght Std,Total #Pkt,TCP #Pkt,UDP #Pkt,HTTP #Pkt,ICMP #Pkt,TCP Bytes,UDP Bytes,HTTP Bytes,ICMP Bytes,Syn Flag,Ack Flag,SynAck Flag,Psh Flag,Rst Flag,Fin Flag,Urg Flag,Class
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,61539.861,10521.656,39,35,3,29,1,60285,4284,58473,576,2,34,1,17,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,61685,61543.784,10378.525,35,33,1,29,1,59681,1428,58473,576,2,32,1,16,0,2,0,0
5,15,0,0,5,14,0,0,5,14,0,0,5,15,0,0,0,64293,61616.132,10250.506,39,35,2,29,2,60285,2856,58473,1152,2,34,1,15,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,61691.128,10128.792,37,33,3,29,1,59681,4284,58473,576,2,32,1,16,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,61706.075,10001.816,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,63141,61741.073,9881.569,37,35,2,29,0,60285,2856,58473,0,2,34,1,18,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,61685,61739.738,9763.226,35,33,1,29,1,59681,1428,58473,576,2,32,1,16,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,61818.93,9662.672,39,35,3,29,1,60285,4284,58473,576,2,34,1,17,0,2,0,0
4,18,0,0,4,11,0,0,4,11,0,0,4,18,0,0,0,63749,61862.795,9556.568,37,35,1,29,1,61745,1428,59933,576,2,34,1,17,0,2,0,0
4,17,0,0,4,13,0,0,4,13,0,0,4,17,0,0,0,63741,61904.533,9453.842,38,34,2,30,2,59733,2856,58525,1152,2,33,1,16,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,61974.978,9362.452,39,35,3,29,1,60285,4284,58473,576,2,34,1,16,0,2,0,0
3,16,0,0,3,18,0,0,3,18,0,0,3,16,0,0,0,61945,61974.34,9262.317,40,38,1,34,1,59941,1428,58733,576,2,37,1,15,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,62040.396,9176.507,39,35,3,29,1,60285,4284,58473,576,2,34,1,16,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,60285,62004.571,9085.777,35,35,0,29,0,60285,0,58473,0,2,34,1,16,0,2,0,0
3,15,0,0,5,14,0,0,5,14,0,0,3,15,0,0,0,64541,62055.3,9001.467,37,33,3,29,1,59681,4284,58473,576,2,32,1,14,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62059.882,8912.84,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
5,17,0,0,5,12,0,0,5,12,0,0,5,17,0,0,0,64293,62102.827,8832.05,39,35,2,29,2,60285,2856,58473,1152,2,34,1,16,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62148.83,8754.619,37,33,3,29,1,59681,4284,58473,576,2,32,1,15,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62151.426,8673.2,37,35,1,29,1,60285,1428,58473,576,2,34,1,17,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62194.873,8599.919,37,33,3,29,1,59681,4284,58473,576,2,32,1,16,0,2,0,0
4,15,0,0,4,13,0,0,4,13,0,0,4,15,0,0,0,62237,62195.625,8522.79,36,34,1,28,1,60233,1428,58421,576,2,33,1,15,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,63141,62212.211,8448.609,37,35,2,29,0,60285,2856,58473,0,2,34,1,17,0,2,0,0
3,15,0,0,3,14,0,0,3,14,0,0,3,15,0,0,0,61685,62203.121,8375.741,35,33,1,29,1,59681,1428,58473,576,2,32,1,14,0,2,0,0
4,15,0,0,6,13,0,0,6,13,0,0,4,15,0,0,0,65093,62252.102,8312.831,38,34,3,28,1,60233,4284,58421,576,2,33,1,15,0,2,0,0
4,15,0,0,4,14,0,0,4,14,0,0,4,15,0,0,0,62289,62252.717,8243.267,37,35,1,29,1,60285,1428,58473,576,2,34,1,15,0,2,0,0
4,16,0,0,4,14,0,0,4,14,0,0,4,16,0,0,0,63741,62277.115,8177.605,38,34,2,30,2,59733,2856,58525,1152,2,33,1,15,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,62323.371,8119.429,39,35,3,29,1,60285,4284,58473,576,2,34,1,17,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,61685,62313.238,8055.127,35,33,1,29,1,59681,1428,58473,576,2,32,1,17,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,62357.484,7999.661,39,35,3,29,1,60285,4284,58473,576,2,34,1,16,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,60285,62325.6,7941.984,35,35,0,29,0,60285,0,58473,0,2,34,1,16,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62359.167,7886.232,37,33,3,29,1,59681,4284,58473,576,2,32,1,15,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62358.119,7827.163,37,35,1,29,1,60285,1428,58473,576,2,34,1,17,0,2,0,0
5,17,0,0,5,12,0,0,5,12,0,0,5,17,0,0,0,64293,62386.574,7772.888,39,35,2,29,2,60285,2856,58473,1152,2,34,1,16,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62417.797,7720.651,37,33,3,29,1,59681,4284,58473,576,2,32,1,15,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62415.957,7665.321,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62445.887,7615.266,37,33,3,29,1,59681,4284,58473,576,2,32,1,15,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62443.708,7562.22,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,63141,62453.26,7510.683,37,35,2,29,0,60285,2856,58473,0,2,34,1,18,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,61685,62442.878,7460.29,35,33,1,29,1,59681,1428,58473,576,2,32,1,16,0,2,0,0
4,15,0,0,6,13,0,0,6,13,0,0,4,15,0,0,0,65093,62478.213,7416.619,38,34,3,28,1,60233,4284,58421,576,2,33,1,15,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62475.724,7367.695,37,35,1,29,1,60285,1428,58473,576,2,34,1,16,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,63689,62491.481,7320.986,37,33,2,29,2,59681,2856,58473,1152,2,32,1,16,0,2,0,0
4,15,0,0,6,14,0,0,6,14,0,0,4,15,0,0,0,65145,62525.5,7280.028,39,35,3,29,1,60285,4284,58473,576,2,34,1,15,0,2,0,0
3,17,0,0,3,12,0,0,3,12,0,0,3,17,0,0,0,61685,62514.861,7234.415,35,33,1,29,1,59681,1428,58473,576,2,32,1,16,0,2,0,0
4,17,0,0,6,12,0,0,6,12,0,0,4,17,0,0,0,65145,62547.738,7194.994,39,35,3,29,1,60285,4284,58473,576,2,34,1,17,0,2,0,0
3,15,0,0,3,14,0,0,3,14,0,0,3,15,0,0,0,60285,62519.802,7154.807,35,35,0,29,0,60285,0,58473,0,2,34,1,15,0,2,0,0
3,17,0,0,5,12,0,0,5,12,0,0,3,17,0,0,0,64541,62544.451,7114.506,37,33,3,29,1,59681,4284,58473,576,2,32,1,16,0,2,0,0
4,17,0,0,4,12,0,0,4,12,0,0,4,17,0,0,0,62289,62541.373,7071.572,37,35,1,29,1,60285,1428,58473,576,2,34,1,17,0,2,0,0
